time_ms,src,dst,direction,distance_km,delay_ms,jitter_ms,loss_pct,bw_mbps,max_queue_pkt,type,status
360000,SAT_60935,SAT_62898,BIDIR,168.023,0.56,0.056,0.0,100,10,SAT-SAT,UP
360000,SAT_60935,SAT_57925,BIDIR,182.989,0.61,0.061,0.0,100,10,SAT-SAT,UP
360000,SAT_60935,SAT_66404,BIDIR,303.082,1.01,0.101,0.0,100,16,SAT-SAT,UP
360000,SAT_60935,UAV_05,BIDIR,362.189,1.207,0.121,0.0,20,10,SAT-UAV,UP
360000,SAT_60935,UAV_03,BIDIR,362.211,1.207,0.121,0.0,20,10,SAT-UAV,UP
360000,SAT_60935,UAV_02,BIDIR,362.316,1.208,0.121,0.0,20,10,SAT-UAV,UP
360000,SAT_60935,UAV_01,BIDIR,362.347,1.208,0.121,0.0,20,10,SAT-UAV,UP
360000,SAT_60935,UAV_04,BIDIR,362.363,1.208,0.121,0.0,20,10,SAT-UAV,UP
360000,SAT_60935,GS_01,BIDIR,362.422,1.208,0.121,0.0,20,10,SAT-GS,UP
360000,SAT_62898,SAT_57925,BIDIR,128.398,0.428,0.043,0.0,100,10,SAT-SAT,UP
360000,SAT_62898,SAT_66404,BIDIR,354.107,1.18,0.118,0.0,100,19,SAT-SAT,UP
360000,SAT_62898,UAV_03,BIDIR,504.802,1.683,0.168,0.0,20,10,SAT-UAV,UP
360000,SAT_62898,UAV_04,BIDIR,504.833,1.683,0.168,0.0,20,10,SAT-UAV,UP
360000,SAT_62898,UAV_02,BIDIR,504.845,1.683,0.168,0.0,20,10,SAT-UAV,UP
360000,SAT_62898,UAV_05,BIDIR,504.853,1.683,0.168,0.0,20,10,SAT-UAV,UP
360000,SAT_62898,UAV_01,BIDIR,505.036,1.683,0.168,0.0,20,10,SAT-UAV,UP
360000,SAT_62898,GS_01,BIDIR,505.162,1.684,0.168,0.0,20,10,SAT-GS,UP
360000,SAT_66404,SAT_57925,BIDIR,247.639,0.825,0.083,0.0,100,13,SAT-SAT,UP
360000,SAT_66404,UAV_04,BIDIR,531.28,1.771,0.177,0.0,20,10,SAT-UAV,UP
360000,SAT_66404,UAV_02,BIDIR,531.647,1.772,0.177,0.0,20,10,SAT-UAV,UP
360000,SAT_66404,GS_01,BIDIR,531.723,1.772,0.177,0.0,20,10,SAT-GS,UP
360000,SAT_66404,UAV_01,BIDIR,531.739,1.772,0.177,0.0,20,10,SAT-UAV,UP
360000,SAT_66404,UAV_03,BIDIR,532.417,1.775,0.177,0.0,20,10,SAT-UAV,UP
360000,SAT_66404,UAV_05,BIDIR,532.705,1.776,0.178,0.0,20,10,SAT-UAV,UP
360000,SAT_57925,UAV_04,BIDIR,535.38,1.785,0.178,0.0,20,10,SAT-UAV,UP
360000,SAT_57925,UAV_02,BIDIR,535.464,1.785,0.178,0.0,20,10,SAT-UAV,UP
360000,SAT_57925,UAV_01,BIDIR,535.57,1.785,0.179,0.0,20,10,SAT-UAV,UP
360000,SAT_57925,UAV_03,BIDIR,535.614,1.785,0.179,0.0,20,10,SAT-UAV,UP
360000,SAT_57925,GS_01,BIDIR,535.642,1.785,0.179,0.0,20,10,SAT-GS,UP
360000,SAT_57925,UAV_05,BIDIR,535.7,1.786,0.179,0.0,20,10,SAT-UAV,UP
360000,UAV_01,UAV_02,BIDIR,0.939,0.003,0.0,0.0,10,10,UAV-UAV,UP
360000,UAV_01,UAV_03,BIDIR,1.463,0.005,0.0,0.0,10,10,UAV-UAV,UP
360000,UAV_01,UAV_04,BIDIR,1.82,0.006,0.001,0.0,10,10,UAV-UAV,UP
360000,UAV_01,UAV_05,BIDIR,2.183,0.007,0.001,0.0,10,10,UAV-UAV,UP
360000,UAV_02,UAV_04,BIDIR,1.001,0.003,0.0,0.0,10,10,UAV-UAV,UP
360000,UAV_02,UAV_03,BIDIR,1.921,0.006,0.001,0.0,10,10,UAV-UAV,UP
360000,UAV_02,UAV_05,BIDIR,2.775,0.009,0.001,0.0,10,10,UAV-UAV,UP
360000,UAV_03,UAV_05,BIDIR,0.875,0.003,0.0,0.0,10,10,UAV-UAV,UP
360000,UAV_03,UAV_04,BIDIR,2.916,0.01,0.001,0.0,10,10,UAV-UAV,UP
360000,UAV_04,UAV_05,BIDIR,3.775,0.013,0.001,0.0,10,10,UAV-UAV,UP
360000,SAT_62474,SAT_60445,BIDIR,128.619,99999.0,0.043,0.0,100,10,SAT-SAT,DOWN
360000,SAT_62474,SAT_58748,BIDIR,362.343,99999.0,0.121,0.0,100,20,SAT-SAT,DOWN
