time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
300000,SAT_62474,STARLINK-11502 [DTC],SAT,-1605553.22,5585776.16,3391799.6,356.58,-1,10.0.3.254,62474,412.04,6729.264519874135
300000,SAT_58748,STARLINK-31165,SAT,-1379561.03,5842053.95,3347698.74,500.08,-1,10.0.3.98,58748,511.13,6873.1266425116055
300000,SAT_60445,STARLINK-32228,SAT,-1679558.58,5661255.62,3469728.27,476.44,-1,10.0.3.10,60445,542.76,6849.069023325023
300000,SAT_57931,STARLINK-30488,SAT,-1550251.41,5744677.07,3557145.87,559.89,-1,10.0.3.46,57931,582.47,6932.379159657155
301000,SAT_62474,STARLINK-11502 [DTC],SAT,-1611982.34,5586076.33,3388262.9,356.57,-1,10.0.3.254,62474,412.04,6729.269002542144
301000,SAT_58748,STARLINK-31165,SAT,-1385810.22,5842663.52,3344062.32,500.07,-1,10.0.3.98,58748,511.13,6873.13172970219
301000,SAT_60445,STARLINK-32228,SAT,-1685024.79,5662535.91,3465001.4,476.43,-1,10.0.3.10,60445,542.76,6849.077031028052
301000,SAT_57931,STARLINK-30488,SAT,-1555540.16,5741131.67,3560550.0,559.9,-1,10.0.3.46,57931,582.47,6932.374365551085
302000,SAT_62474,STARLINK-11502 [DTC],SAT,-1618409.33,5586370.15,3384721.77,356.57,-1,10.0.3.254,62474,412.04,6729.273487721688
302000,SAT_58748,STARLINK-31165,SAT,-1392057.63,5843266.86,3340421.78,500.07,-1,10.0.3.98,58748,511.13,6873.13681740105
302000,SAT_60445,STARLINK-32228,SAT,-1690488.73,5663809.99,3460270.22,476.42,-1,10.0.3.10,60445,542.76,6849.085029732049
302000,SAT_57931,STARLINK-30488,SAT,-1560827.57,5737580.21,3563949.86,559.9,-1,10.0.3.46,57931,582.47,6932.369578582044
303000,SAT_62474,STARLINK-11502 [DTC],SAT,-1624834.17,5586657.64,3381176.2,356.56,-1,10.0.3.254,62474,412.04,6729.277982221896
303000,SAT_58748,STARLINK-31165,SAT,-1398303.25,5843863.98,3336777.13,500.06,-1,10.0.3.98,58748,511.13,6873.1419169833125
303000,SAT_60445,STARLINK-32228,SAT,-1695950.4,5665077.88,3455534.74,476.42,-1,10.0.3.10,60445,542.76,6849.093041058233
303000,SAT_57931,STARLINK-30488,SAT,-1566113.65,5734022.69,3567345.44,559.91,-1,10.0.3.46,57931,582.47,6932.36479582833
304000,SAT_62474,STARLINK-11502 [DTC],SAT,-1631256.85,5586938.79,3377626.19,356.55,-1,10.0.3.254,62474,412.04,6729.282475364851
304000,SAT_58748,STARLINK-31165,SAT,-1404547.08,5844454.86,3333128.38,500.06,-1,10.0.3.98,58748,511.13,6873.147016329243
304000,SAT_60445,STARLINK-32228,SAT,-1701409.78,5666339.57,3450794.96,476.41,-1,10.0.3.10,60445,542.76,6849.101051816132
304000,SAT_57931,STARLINK-30488,SAT,-1571398.38,5730459.12,3570736.75,559.92,-1,10.0.3.46,57931,582.47,6932.3600261713445
305000,SAT_62474,STARLINK-11502 [DTC],SAT,-1637677.36,5587213.6,3374071.75,356.55,-1,10.0.3.254,62474,412.04,6729.286969778417
305000,SAT_58748,STARLINK-31165,SAT,-1410789.1,5845039.51,3329475.52,500.05,-1,10.0.3.98,58748,511.13,6873.152115035657
305000,SAT_60445,STARLINK-32228,SAT,-1706866.89,5667595.06,3446050.89,476.4,-1,10.0.3.10,60445,542.76,6849.10907204612
305000,SAT_57931,STARLINK-30488,SAT,-1576681.76,5726889.49,3574123.78,559.92,-1,10.0.3.46,57931,582.47,6932.355256170204
306000,SAT_62474,STARLINK-11502 [DTC],SAT,-1644095.7,5587482.07,3370512.89,356.54,-1,10.0.3.254,62474,412.04,6729.291470503126
306000,SAT_58748,STARLINK-31165,SAT,-1417029.32,5845617.93,3325818.57,500.04,-1,10.0.3.98,58748,511.13,6873.157224873733
306000,SAT_60445,STARLINK-32228,SAT,-1712321.7,5668844.35,3441302.54,476.4,-1,10.0.3.10,60445,542.76,6849.117099351438
306000,SAT_57931,STARLINK-30488,SAT,-1581963.78,5723313.82,3577506.52,559.93,-1,10.0.3.46,57931,582.47,6932.350494895465
307000,SAT_62474,STARLINK-11502 [DTC],SAT,-1650511.87,5587744.2,3366949.61,356.53,-1,10.0.3.254,62474,412.04,6729.295977583664
307000,SAT_58748,STARLINK-31165,SAT,-1423267.72,5846190.11,3322157.52,500.04,-1,10.0.3.98,58748,511.13,6873.162328415383
307000,SAT_60445,STARLINK-32228,SAT,-1717774.22,5670087.43,3436549.9,476.39,-1,10.0.3.10,60445,542.76,6849.125122957721
307000,SAT_57931,STARLINK-30488,SAT,-1587244.44,5719732.1,3580884.97,559.93,-1,10.0.3.46,57931,582.47,6932.34573405375
308000,SAT_62474,STARLINK-11502 [DTC],SAT,-1656925.84,5587999.99,3363381.91,356.52,-1,10.0.3.254,62474,412.04,6729.30048370668
308000,SAT_58748,STARLINK-31165,SAT,-1429504.29,5846756.06,3318492.39,500.03,-1,10.0.3.98,58748,511.13,6873.167441781339
308000,SAT_60445,STARLINK-32228,SAT,-1723224.44,5671324.31,3431792.99,476.38,-1,10.0.3.10,60445,542.76,6849.133158730631
308000,SAT_57931,STARLINK-30488,SAT,-1592523.74,5716144.34,3584259.12,559.94,-1,10.0.3.46,57931,582.47,6932.340976717807
309000,SAT_62474,STARLINK-11502 [DTC],SAT,-1663337.62,5588249.43,3359809.8,356.52,-1,10.0.3.254,62474,412.04,6729.304988048812
309000,SAT_58748,STARLINK-31165,SAT,-1435739.04,5847315.77,3314823.17,500.03,-1,10.0.3.98,58748,511.13,6873.172553736713
309000,SAT_60445,STARLINK-32228,SAT,-1728672.34,5672554.97,3427031.81,476.38,-1,10.0.3.10,60445,542.76,6849.141185105229
309000,SAT_57931,STARLINK-30488,SAT,-1597801.66,5712550.54,3587628.98,559.95,-1,10.0.3.46,57931,582.47,6932.336223445087
310000,SAT_62474,STARLINK-11502 [DTC],SAT,-1669747.2,5588492.54,3356233.29,356.51,-1,10.0.3.254,62474,412.04,6729.30950978239
310000,SAT_58748,STARLINK-31165,SAT,-1441971.95,5847869.25,3311149.87,500.02,-1,10.0.3.98,58748,511.13,6873.177673484324
310000,SAT_60445,STARLINK-32228,SAT,-1734117.94,5673779.43,3422266.37,476.37,-1,10.0.3.10,60445,542.76,6849.149228725707
310000,SAT_57931,STARLINK-30488,SAT,-1603078.2,5708950.72,3590994.53,559.95,-1,10.0.3.46,57931,582.47,6932.331480331395
311000,SAT_62474,STARLINK-11502 [DTC],SAT,-1676154.57,5588729.3,3352652.38,356.5,-1,10.0.3.254,62474,412.04,6729.314029849554
311000,SAT_58748,STARLINK-31165,SAT,-1448203.02,5848416.49,3307472.49,500.02,-1,10.0.3.98,58748,511.13,6873.182792545812
311000,SAT_60445,STARLINK-32228,SAT,-1739561.21,5674997.67,3417496.68,476.36,-1,10.0.3.10,60445,542.76,6849.157270471537
311000,SAT_57931,STARLINK-30488,SAT,-1608353.36,5705344.86,3594355.78,559.96,-1,10.0.3.46,57931,582.47,6932.326736051261
312000,SAT_62474,STARLINK-11502 [DTC],SAT,-1682559.72,5588959.72,3349067.06,356.5,-1,10.0.3.254,62474,412.04,6729.3185491196655
312000,SAT_58748,STARLINK-31165,SAT,-1454432.25,5848957.5,3303791.05,500.01,-1,10.0.3.98,58748,511.13,6873.187929098579
312000,SAT_60445,STARLINK-32228,SAT,-1745002.16,5676209.71,3412722.73,476.36,-1,10.0.3.10,60445,542.76,6849.165324487473
312000,SAT_57931,STARLINK-30488,SAT,-1613627.14,5701732.98,3597712.72,559.96,-1,10.0.3.46,57931,582.47,6932.322001884655
313000,SAT_62474,STARLINK-11502 [DTC],SAT,-1688962.65,5589183.79,3345477.36,356.49,-1,10.0.3.254,62474,412.04,6729.3230742598735
313000,SAT_58748,STARLINK-31165,SAT,-1460659.61,5849492.26,3300105.53,500.0,-1,10.0.3.98,58748,511.13,6873.193050193036
313000,SAT_60445,STARLINK-32228,SAT,-1750440.78,5677415.52,3407944.54,476.35,-1,10.0.3.10,60445,542.76,6849.173373388914
313000,SAT_57931,STARLINK-30488,SAT,-1618899.52,5698115.09,3601065.34,559.97,-1,10.0.3.46,57931,582.47,6932.317276184873
314000,SAT_62474,STARLINK-11502 [DTC],SAT,-1695363.35,5589401.52,3341883.27,356.48,-1,10.0.3.254,62474,412.04,6729.327606128819
314000,SAT_58748,STARLINK-31165,SAT,-1466885.11,5850020.78,3296415.96,500.0,-1,10.0.3.98,58748,511.13,6873.198180884518
314000,SAT_60445,STARLINK-32228,SAT,-1755877.06,5678615.12,3403162.12,476.34,-1,10.0.3.10,60445,542.76,6849.181436195843
314000,SAT_57931,STARLINK-30488,SAT,-1624170.5,5694491.18,3604413.65,559.98,-1,10.0.3.46,57931,582.47,6932.312555884534
315000,SAT_62474,STARLINK-11502 [DTC],SAT,-1701761.81,5589612.9,3338284.8,356.48,-1,10.0.3.254,62474,412.04,6729.332138907392
315000,SAT_58748,STARLINK-31165,SAT,-1473108.75,5850543.06,3292722.33,499.99,-1,10.0.3.98,58748,511.13,6873.203316410868
315000,SAT_60445,STARLINK-32228,SAT,-1761311.0,5679808.49,3398375.46,476.34,-1,10.0.3.10,60445,542.76,6849.1894913870865
315000,SAT_57931,STARLINK-30488,SAT,-1629440.07,5690861.25,3607757.63,559.98,-1,10.0.3.46,57931,582.47,6932.307828226931
316000,SAT_62474,STARLINK-11502 [DTC],SAT,-1708158.02,5589817.94,3334681.94,356.47,-1,10.0.3.254,62474,412.04,6729.33667344697
316000,SAT_58748,STARLINK-31165,SAT,-1479330.5,5851059.1,3289024.65,499.99,-1,10.0.3.98,58748,511.13,6873.208455170749
316000,SAT_60445,STARLINK-32228,SAT,-1766742.59,5680995.65,3393584.57,476.33,-1,10.0.3.10,60445,542.76,6849.1975579903465
316000,SAT_57931,STARLINK-30488,SAT,-1634708.24,5687225.32,3611097.29,559.99,-1,10.0.3.46,57931,582.47,6932.303117162315
317000,SAT_62474,STARLINK-11502 [DTC],SAT,-1714551.97,5590016.63,3331074.72,356.46,-1,10.0.3.254,62474,412.04,6729.341213798756
317000,SAT_58748,STARLINK-31165,SAT,-1485550.38,5851568.9,3285322.91,499.98,-1,10.0.3.98,58748,511.13,6873.213596705418
317000,SAT_60445,STARLINK-32228,SAT,-1772171.83,5682176.58,3388789.46,476.32,-1,10.0.3.10,60445,542.76,6849.20562441756
317000,SAT_57931,STARLINK-30488,SAT,-1639974.98,5683583.39,3614432.62,559.99,-1,10.0.3.46,57931,582.47,6932.298410385257
318000,SAT_62474,STARLINK-11502 [DTC],SAT,-1720943.67,5590208.97,3327463.13,356.46,-1,10.0.3.254,62474,412.04,6729.345757582302
318000,SAT_58748,STARLINK-31165,SAT,-1491768.36,5852072.46,3281617.14,499.97,-1,10.0.3.98,58748,511.13,6873.2187489217395
318000,SAT_60445,STARLINK-32228,SAT,-1777598.7,5683351.29,3383990.14,476.31,-1,10.0.3.10,60445,542.76,6849.213698768902
318000,SAT_57931,STARLINK-30488,SAT,-1645240.31,5679935.46,3617763.61,560.0,-1,10.0.3.46,57931,582.47,6932.293707370926
319000,SAT_62474,STARLINK-11502 [DTC],SAT,-1727333.1,5590394.97,3323847.17,356.45,-1,10.0.3.254,62474,412.04,6729.350308051581
319000,SAT_58748,STARLINK-31165,SAT,-1497984.45,5852569.76,3277907.33,499.97,-1,10.0.3.98,58748,511.13,6873.223892190329
319000,SAT_60445,STARLINK-32228,SAT,-1783023.21,5684519.77,3379186.61,476.31,-1,10.0.3.10,60445,542.76,6849.22177536418
319000,SAT_57931,STARLINK-30488,SAT,-1650504.21,5676281.53,3621090.26,560.01,-1,10.0.3.46,57931,582.47,6932.289003360559
320000,SAT_62474,STARLINK-11502 [DTC],SAT,-1733720.25,5590574.61,3320226.85,356.44,-1,10.0.3.254,62474,412.04,6729.354851001516
320000,SAT_58748,STARLINK-31165,SAT,-1504198.64,5853060.83,3274193.48,499.96,-1,10.0.3.98,58748,511.13,6873.229049924981
