time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,radius_km
60000,SAT_01,STARLINK-31405,SAT,-1904937.18,5579490.94,3501002.98,484.32,-1,10.0.3.1,6856.859826134506
60000,SAT_02,STARLINK-31055,SAT,-1503018.28,5894713.23,3148391.39,476.15,-1,10.0.3.2,6849.750094607637
60000,SAT_03,STARLINK-11276 [DTC],SAT,-2151043.83,5658439.77,2950847.88,360.41,-1,10.0.3.3,6734.421534192763
60000,SAT_04,STARLINK-11707 [DTC],SAT,-1929991.0,5414923.51,3497952.79,356.85,-1,10.0.3.4,6729.18535933589
60000,SAT_05,STARLINK-35901,SAT,-2152567.4,5627875.33,3194012.67,446.27,-1,10.0.3.5,6819.695306807034
60000,SAT_06,STARLINK-5790,SAT,-1732682.19,5923851.47,3159084.81,559.86,-1,10.0.3.6,6933.543152453663
60000,SAT_07,STARLINK-3086,SAT,-1550589.44,5521907.38,3922562.55,577.24,-1,10.0.3.7,6948.545580436274
60000,SAT_08,STARLINK-5564,SAT,-1767011.63,5514950.21,3812320.1,561.66,-1,10.0.3.8,6933.3102097193305
60000,SAT_09,STARLINK-32545,SAT,-1390307.67,5661504.63,3609359.25,484.42,-1,10.0.3.9,6856.607345351841
60000,SAT_10,STARLINK-34752,SAT,-2058234.85,5969733.08,2657531.9,476.12,-1,10.0.3.10,6851.023247932999
60000,SAT_11,STARLINK-32596,SAT,-2000067.68,5184344.01,4003188.5,477.78,-1,10.0.3.11,6848.591950549814
60000,SAT_12,STARLINK-11641 [DTC],SAT,-1300234.31,5306037.56,3935205.57,361.98,-1,10.0.3.12,6732.7918969169805
60000,SAT_13,STARLINK-5118,SAT,-2131253.44,5349573.05,3824884.26,541.45,-1,10.0.3.13,6913.024854952706
60000,SAT_14,STARLINK-31758,SAT,-2282624.06,5842189.13,2772896.34,483.25,-1,10.0.3.14,6857.878720301667
60000,SAT_15,STARLINK-35678,SAT,-1293603.92,6084458.49,2792153.61,443.83,-1,10.0.3.15,6818.369893178902
60000,SAT_16,STARLINK-6047,SAT,-1960864.0,5684240.94,3483926.52,576.6,-1,10.0.3.16,6949.34001810441
60000,SAT_17,STARLINK-4153,SAT,-1455942.32,5691954.78,3643941.0,541.32,-1,10.0.3.17,6913.495734302063
60000,SAT_18,STARLINK-35760,SAT,-1151536.58,5842579.07,3384744.9,476.79,-1,10.0.3.18,6849.690848670191
60000,SAT_19,STARLINK-3130,SAT,-2150446.57,5699461.74,3270026.31,540.52,-1,10.0.3.19,6913.852518259326
60000,SAT_20,STARLINK-3725,SAT,-1154626.38,5869529.62,3466320.15,541.0,-1,10.0.3.20,6913.748290163974
60000,SAT_21,STARLINK-35776,SAT,-1963200.26,5054984.46,4182126.69,478.01,-1,10.0.3.21,6848.153532370307
60000,SAT_22,STARLINK-30951,SAT,-2366019.18,5885567.47,2799889.4,559.15,-1,10.0.3.22,6933.781930251515
60000,SAT_23,STARLINK-31965,SAT,-1663805.28,5146139.06,4215344.05,487.09,-1,10.0.3.23,6857.121895845513
60000,SAT_24,STARLINK-32673,SAT,-1293073.33,5969956.95,3117693.89,484.32,-1,10.0.3.24,6858.0201088472995
60000,SAT_25,STARLINK-2109,SAT,-1333333.25,6287389.49,2570586.39,547.03,-1,10.0.3.25,6922.207635066377
60000,SAT_26,STARLINK-5799,SAT,-2540791.6,5461303.38,3432839.58,560.08,-1,10.0.3.26,6932.953493645011
60000,SAT_27,STARLINK-32078,SAT,-2497919.02,5406303.9,3383294.54,476.51,-1,10.0.3.27,6849.408969686859
60000,SAT_28,STARLINK-30767,SAT,-1554744.66,5241354.19,4261868.63,561.96,-1,10.0.3.28,6931.994584692572
60000,SAT_29,STARLINK-33674,SAT,-959818.68,5895245.01,3368328.84,484.21,-1,10.0.3.29,6857.171778567501
60000,SAT_30,STARLINK-1337,SAT,-2551763.85,5743680.81,2721977.9,474.38,-1,10.0.3.30,6849.126344390026
60000,SAT_31,STARLINK-11102 [DTC],SAT,-2494007.12,5062241.33,3672833.11,361.45,-1,10.0.3.31,6733.20591187312
60000,SAT_32,STARLINK-32648,SAT,-1024194.18,5328061.33,4178553.16,478.02,-1,10.0.3.32,6848.176236453997
60000,SAT_33,STARLINK-33907,SAT,-2686897.16,5434102.62,3206535.59,484.45,-1,10.0.3.33,6857.897500184993
60000,SAT_34,STARLINK-3796,SAT,-881469.66,5572120.92,3995133.65,541.81,-1,10.0.3.34,6912.786210347062
60000,SAT_35,STARLINK-33699,SAT,-1789910.18,6204872.04,2310810.66,483.17,-1,10.0.3.35,6858.867354863413
60000,SAT_36,STARLINK-34641,SAT,-1585849.01,6372916.12,2276594.18,574.84,-1,10.0.3.36,6950.6732059192445
60000,SAT_37,STARLINK-31222,SAT,-2546560.82,5235657.2,3606267.12,476.33,-1,10.0.3.37,6848.521071491567
60000,SAT_38,STARLINK-31825,SAT,-2423586.5,5283473.06,3622037.99,476.81,-1,10.0.3.38,6848.942860013599
60000,SAT_39,STARLINK-1789,SAT,-700154.69,5484320.7,3781190.32,326.86,-1,10.0.3.39,6698.163208405658
60000,SAT_40,STARLINK-30375,SAT,-2617157.34,5339534.32,3564955.27,560.72,-1,10.0.3.40,6933.184360297548
60000,SAT_41,STARLINK-6365,SAT,-1422700.32,6322440.07,2466742.11,558.71,-1,10.0.3.41,6934.12873232946
60000,SAT_42,STARLINK-30999,SAT,-905405.95,6228241.7,2704129.6,475.25,-1,10.0.3.42,6850.0417153117
60000,SAT_43,STARLINK-35930,SAT,-2327914.38,5153322.58,3879299.46,486.2,-1,10.0.3.43,6857.469159573737
60000,SAT_44,STARLINK-3807,SAT,-2167960.24,4947933.17,4312046.23,542.22,-1,10.0.3.44,6912.006723569092
60000,SAT_45,STARLINK-4147,SAT,-790928.93,5934582.82,3457362.39,540.85,-1,10.0.3.45,6913.623978459967
60000,SAT_46,STARLINK-31746,SAT,-2802806.73,5527899.29,2935071.03,483.49,-1,10.0.3.46,6857.6991824708275
