time_ms,src,dst,direction,distance_km,delay_ms,jitter_ms,loss_pct,bw_mbps,max_queue_pkt,type,status
60000,SAT_67311,SAT_57919,BIDIR,105.657,0.35,0.035,0.0,100,10,SAT-SAT,UP
60000,SAT_67311,SAT_56544,BIDIR,127.234,0.42,0.042,0.0,100,10,SAT-SAT,UP
60000,SAT_67311,SAT_67334,BIDIR,194.042,0.65,0.065,0.0,100,10,SAT-SAT,UP
60000,SAT_67311,SAT_56555,BIDIR,208.764,0.7,0.07,0.0,100,11,SAT-SAT,UP
60000,SAT_67311,SAT_56770,BIDIR,263.318,0.88,0.088,0.0,100,14,SAT-SAT,UP
60000,SAT_67311,SAT_63578,BIDIR,288.935,0.96,0.096,0.0,100,16,SAT-SAT,UP
60000,SAT_67311,SAT_64921,BIDIR,291.426,0.97,0.097,0.0,100,16,SAT-SAT,UP
60000,SAT_67311,SAT_55452,BIDIR,299.709,1.0,0.1,0.0,100,16,SAT-SAT,UP
60000,SAT_67311,SAT_51809,BIDIR,306.842,1.02,0.102,0.0,100,17,SAT-SAT,UP
60000,SAT_67311,SAT_56547,BIDIR,319.011,1.06,0.106,0.0,100,17,SAT-SAT,UP
60000,SAT_67311,SAT_49453,BIDIR,322.101,1.07,0.107,0.0,100,17,SAT-SAT,UP
60000,SAT_67311,SAT_66405,BIDIR,341.134,1.14,0.114,0.0,100,18,SAT-SAT,UP
60000,SAT_67311,SAT_47739,BIDIR,372.825,1.24,0.124,0.0,100,20,SAT-SAT,UP
60000,SAT_67311,SAT_60444,BIDIR,434.796,1.45,0.145,0.0,100,24,SAT-SAT,UP
60000,SAT_67311,SAT_63188,BIDIR,461.69,1.54,0.154,0.0,100,25,SAT-SAT,UP
60000,SAT_67311,SAT_62528,BIDIR,484.687,1.62,0.162,0.0,100,26,SAT-SAT,UP
60000,SAT_67311,SAT_54054,BIDIR,507.26,1.69,0.169,0.0,100,28,SAT-SAT,UP
60000,SAT_67311,UAV_01,BIDIR,513.731,1.71,0.171,0.0,20,10,SAT-UAV,UP
60000,SAT_67311,UAV_02,BIDIR,513.738,1.71,0.171,0.0,20,10,SAT-UAV,UP
60000,SAT_56544,SAT_55452,BIDIR,181.788,0.61,0.061,0.0,100,10,SAT-SAT,UP
60000,SAT_56544,SAT_57919,BIDIR,215.013,0.72,0.072,0.0,100,11,SAT-SAT,UP
60000,SAT_56544,SAT_56555,BIDIR,234.976,0.78,0.078,0.0,100,13,SAT-SAT,UP
60000,SAT_56544,SAT_67334,BIDIR,292.539,0.98,0.098,0.0,100,16,SAT-SAT,UP
60000,SAT_56544,SAT_51809,BIDIR,303.298,1.01,0.101,0.0,100,16,SAT-SAT,UP
60000,SAT_56544,SAT_64921,BIDIR,306.637,1.02,0.102,0.0,100,17,SAT-SAT,UP
