time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
420100,UAV_08,RELAY,UAV,-1337745.2,5363943.8,3171417.8,10.0.0.9,292.2,58.0
420100,UAV_09,RELAY,UAV,-1337475.9,5365009.6,3169739.5,10.0.0.10,99.4,58.0
420100,UAV_10,RELAY,UAV,-1337901.6,5363876.5,3171465.3,10.0.0.11,298.2,58.0
420100,UAV_11,CACHE,UAV,-1336476.9,5364895.4,3170349.9,10.0.0.12,164.5,58.0
420100,UAV_12,RELAY,UAV,-1338348.0,5364753.5,3169804.3,10.0.0.13,52.8,58.0
420100,UAV_13,RELAY,UAV,-1338351.7,5363847.0,3171326.3,10.0.0.14,320.4,58.0
420100,UAV_14,RELAY,UAV,-1336848.3,5364023.6,3171659.4,10.0.0.15,245.8,58.0
420100,UAV_15,RELAY,UAV,-1336190.0,5364716.3,3170771.2,10.0.0.16,187.7,58.0
420100,UAV_16,RELAY,UAV,-1336542.1,5365153.9,3169888.2,10.0.0.17,142.1,58.0
420100,UAV_17,RELAY,UAV,-1337188.5,5365249.1,3169457.4,10.0.0.18,110.1,58.0
420100,UAV_18,RELAY,UAV,-1337690.6,5365192.5,3169342.1,10.0.0.19,90.6,58.0
420100,UAV_19,RELAY,UAV,-1337942.5,5365140.0,3169324.7,10.0.0.20,80.7,58.0
420100,UAV_20,CACHE,UAV,-1337951.5,5365158.5,3169289.8,10.0.0.21,80.4,58.0
420100,UAV_21,CACHE,UAV,-1337717.7,5365248.2,3169237.1,10.0.0.22,89.7,58.0
420100,UAV_22,RELAY,UAV,-1337232.3,5365351.4,3169267.1,10.0.0.23,107.3,58.0
420100,UAV_23,RELAY,UAV,-1336559.7,5365348.2,3169554.3,10.0.0.24,133.1,58.0
420100,UAV_24,RELAY,UAV,-1335953.4,5365086.8,3170247.7,10.0.0.25,165.8,58.0
420100,UAV_25,RELAY,UAV,-1335877.1,5364501.2,3171263.8,10.0.0.26,205.4,58.0
420100,UAV_26,RELAY,UAV,-1336733.7,5363795.1,3172091.4,10.0.0.27,250.5,58.0
420100,UAV_27,RELAY,UAV,-1338283.9,5363487.9,3171958.2,10.0.0.28,302.5,58.0
420100,UAV_28,RELAY,UAV,-1339318.5,5364029.0,3170615.4,10.0.0.29,1.3,58.0
420100,UAV_29,RELAY,UAV,-1338533.6,5365090.7,3169160.0,10.0.0.30,64.3,58.0
420100,UAV_30,RELAY,UAV,-1336437.8,5365477.5,3169388.1,10.0.0.31,132.7,58.0
420100,UAV_31,RELAY,UAV,-1335693.1,5364497.0,3171347.9,10.0.0.32,205.3,58.0
420100,UAV_32,RELAY,UAV,-1337711.2,5363423.3,3172306.8,10.0.0.33,283.4,58.0
420100,UAV_33,RELAY,UAV,-1339487.1,5364073.9,3170469.3,10.0.0.34,5.6,58.0
420100,UAV_34,RELAY,UAV,-1337702.3,5365480.6,3168853.0,10.0.0.35,92.0,58.0
420100,UAV_35,RELAY,UAV,-1335485.6,5364935.8,3170697.5,10.0.0.36,182.4,58.0
420100,UAV_36,RELAY,UAV,-1337493.9,5363395.7,3172444.2,10.0.0.37,277.0,58.0
420100,UAV_37,RELAY,UAV,-1339587.6,5364233.2,3170159.4,10.0.0.38,14.4,58.0
420100,UAV_38,RELAY,UAV,-1336816.5,5365647.5,3168943.7,10.0.0.39,115.8,58.0
420100,UAV_39,RELAY,UAV,-1335735.6,5364167.0,3171884.7,10.0.0.40,221.4,58.0
420100,UAV_40,RELAY,UAV,-1339240.2,5363460.8,3171603.2,10.0.0.41,329.8,58.0
420100,UAV_41,RELAY,UAV,-1338121.1,5365467.3,3168699.8,10.0.0.42,80.9,58.0
420100,UAV_42,RELAY,UAV,-1335306.5,5364705.6,3171159.4,10.0.0.43,196.1,58.0
420100,UAV_43,RELAY,UAV,-1338837.5,5363271.5,3172089.9,10.0.0.44,312.7,58.0
420100,UAV_44,RELAY,UAV,-1338435.1,5365394.3,3168690.9,10.0.0.45,73.4,58.0
420100,UAV_45,RELAY,UAV,-1335232.7,5364698.7,3171201.9,10.0.0.46,196.9,58.0
420100,UAV_46,RELAY,UAV,-1339159.1,5363301.9,3171904.1,10.0.0.47,321.7,58.0
420100,UAV_47,RELAY,UAV,-1337800.7,5365644.1,3168537.1,10.0.0.48,90.7,58.0
420100,UAV_48,RELAY,UAV,-1335526.8,5364145.6,3172008.2,10.0.0.49,221.0,58.0
420100,UAV_49,RELAY,UAV,-1339859.5,5363749.6,3170858.2,10.0.0.50,354.1,58.0
420100,UAV_50,RELAY,UAV,-1336219.0,5365789.0,3168956.2,10.0.0.51,130.0,58.0
420200,GS_01,CLIENT,GS,-1335860.7,5365682.5,3169285.4,10.0.0.1,-1.0,-1.0
420200,UAV_01,RELAY,UAV,-1337773.6,5364372.8,3170684.9,10.0.0.2,347.6,58.0
420200,UAV_02,RELAY,UAV,-1337522.7,5364237.8,3171017.0,10.0.0.3,278.6,58.0
420200,UAV_03,RELAY,UAV,-1337504.5,5364179.0,3171123.4,10.0.0.4,277.5,58.0
420200,UAV_04,RELAY,UAV,-1337413.8,5364831.1,3170065.5,10.0.0.5,106.3,58.0
420200,UAV_05,RELAY,UAV,-1338049.4,5364643.2,3170114.9,10.0.0.6,52.0,58.0
420200,UAV_06,RELAY,UAV,-1337806.9,5364818.5,3169921.9,10.0.0.7,76.2,58.0
420200,UAV_07,RELAY,UAV,-1336716.3,5364827.1,3170364.4,10.0.0.8,160.8,58.0
420200,UAV_08,RELAY,UAV,-1337743.7,5363943.9,3171418.3,10.0.0.9,290.8,58.0
420200,UAV_09,RELAY,UAV,-1337477.3,5365009.3,3169739.3,10.0.0.10,99.4,58.0
420200,UAV_10,RELAY,UAV,-1337900.2,5363876.5,3171465.9,10.0.0.11,298.2,58.0
420200,UAV_11,CACHE,UAV,-1336477.4,5364896.1,3170348.7,10.0.0.12,164.5,58.0
420200,UAV_12,RELAY,UAV,-1338349.1,5364752.8,3169805.1,10.0.0.13,52.8,58.0
