time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
480000,GS_01,CLIENT,GS,-1335860.7,5365682.5,3169285.4,10.0.0.1,-1.0,-1.0
480000,UAV_01,RELAY,UAV,-1337225.9,5364564.7,3170591.8,10.0.0.2,172.8,52.0
480000,UAV_02,RELAY,UAV,-1337085.9,5364633.5,3170534.9,10.0.0.3,167.1,52.0
480000,UAV_03,RELAY,UAV,-1336940.9,5364574.0,3170695.8,10.0.0.4,188.1,52.0
480000,UAV_04,RELAY,UAV,-1338128.3,5364494.8,3170331.3,10.0.0.5,30.7,52.0
480000,UAV_05,RELAY,UAV,-1338204.9,5364189.4,3170812.4,10.0.0.6,344.7,52.0
480000,UAV_06,RELAY,UAV,-1338332.8,5364381.6,3170435.8,10.0.0.7,15.7,52.0
480000,UAV_07,RELAY,UAV,-1337400.9,5364957.8,3169858.0,10.0.0.8,104.4,52.0
480000,UAV_08,RELAY,UAV,-1336915.1,5364187.7,3171355.8,10.0.0.9,238.6,52.0
480000,UAV_09,RELAY,UAV,-1338263.9,5364695.7,3169936.8,10.0.0.10,49.9,52.0
480000,UAV_10,RELAY,UAV,-1337047.7,5364048.2,3171534.7,10.0.0.11,251.4,52.0
480000,UAV_11,RELAY,UAV,-1337085.1,5365098.9,3169753.2,10.0.0.12,119.1,52.0
480000,UAV_12,RELAY,UAV,-1338696.4,5364279.1,3170455.7,10.0.0.13,10.2,52.0
480000,UAV_13,RELAY,UAV,-1337559.2,5363818.2,3171706.8,10.0.0.14,279.1,52.0
480000,UAV_14,RELAY,UAV,-1336303.5,5364472.9,3171132.8,10.0.0.15,207.3,52.0
480000,UAV_15,RELAY,UAV,-1336468.4,5365092.0,3170023.2,10.0.0.16,149.2,52.0
480000,UAV_16,RELAY,UAV,-1337310.9,5365218.1,3169458.2,10.0.0.17,106.3,52.0
480000,UAV_17,RELAY,UAV,-1338050.6,5365056.7,3169419.5,10.0.0.18,74.4,52.0
480000,UAV_18,RELAY,UAV,-1338480.5,5364862.3,3169566.0,10.0.0.19,56.2,52.0
480000,UAV_19,CACHE,UAV,-1338666.1,5364758.0,3169663.5,10.0.0.20,46.3,52.0
480000,UAV_20,RELAY,UAV,-1338679.9,5364778.9,3169622.7,10.0.0.21,47.4,52.0
480000,UAV_21,RELAY,UAV,-1338514.3,5364922.4,3169450.9,10.0.0.22,58.1,52.0
480000,UAV_22,RELAY,UAV,-1338096.2,5365149.9,3169243.7,10.0.0.23,75.7,52.0
480000,UAV_23,RELAY,UAV,-1337373.7,5365356.2,3169199.8,10.0.0.24,101.5,52.0
480000,UAV_24,RELAY,UAV,-1336472.1,5365355.6,3169578.5,10.0.0.25,135.6,52.0
480000,UAV_25,RELAY,UAV,-1335829.2,5364963.8,3170506.4,10.0.0.26,175.2,52.0
480000,UAV_26,RELAY,UAV,-1336073.5,5364212.5,3171666.6,10.0.0.27,221.6,52.0
480000,UAV_27,RELAY,UAV,-1337432.3,5363552.5,3172206.5,10.0.0.28,275.0,52.0
480000,UAV_28,RELAY,UAV,-1339016.8,5363657.8,3171365.7,10.0.0.29,332.4,52.0
480000,UAV_29,RELAY,UAV,-1339128.5,5364648.9,3169653.2,10.0.0.30,36.8,52.0
480000,UAV_30,RELAY,UAV,-1337247.0,5365496.5,3169017.1,10.0.0.31,105.2,52.0
480000,UAV_31,RELAY,UAV,-1335616.3,5364964.8,3170594.0,10.0.0.32,179.2,52.0
480000,UAV_32,RELAY,UAV,-1336846.5,5363637.3,3172309.5,10.0.0.33,257.3,52.0
480000,UAV_33,RELAY,UAV,-1339269.7,5363672.6,3171234.7,10.0.0.34,339.5,52.0
480000,UAV_34,RELAY,UAV,-1338532.2,5365188.6,3168996.0,10.0.0.35,67.2,52.0
480000,UAV_35,RELAY,UAV,-1335741.8,5365324.3,3169937.1,10.0.0.36,157.7,52.0
480000,UAV_36,RELAY,UAV,-1336642.8,5363651.5,3172371.0,10.0.0.37,252.3,52.0
480000,UAV_37,RELAY,UAV,-1339522.1,5363790.5,3170930.9,10.0.0.38,351.0,52.0
480000,UAV_38,RELAY,UAV,-1337681.3,5365547.6,3168749.2,10.0.0.39,92.5,52.0
480000,UAV_39,RELAY,UAV,-1335399.5,5364649.9,3171214.0,10.0.0.40,198.1,52.0
480000,UAV_40,RELAY,UAV,-1338582.9,5363281.7,3172179.6,10.0.0.41,306.4,52.0
480000,UAV_41,RELAY,UAV,-1338896.9,5365115.4,3168966.2,10.0.0.42,58.9,52.0
480000,UAV_42,RELAY,UAV,-1335346.5,5365154.2,3170388.6,10.0.0.43,172.7,52.0
480000,UAV_43,RELAY,UAV,-1338045.8,5363224.9,3172500.1,10.0.0.44,290.7,52.0
480000,UAV_44,RELAY,UAV,-1339153.2,5365002.4,3169048.8,10.0.0.45,51.4,52.0
480000,UAV_45,RELAY,UAV,-1335256.4,5365150.8,3170432.1,10.0.0.46,174.9,52.0
480000,UAV_46,CACHE,UAV,-1338436.7,5363178.2,3172414.7,10.0.0.47,301.1,52.0
480000,UAV_47,RELAY,UAV,-1338633.7,5365353.3,3168676.7,10.0.0.48,68.7,52.0
480000,UAV_48,RELAY,UAV,-1335181.7,5364628.8,3171340.7,10.0.0.49,200.4,52.0
480000,UAV_49,RELAY,UAV,-1339510.2,5363395.2,3171600.3,10.0.0.50,333.5,52.0
480000,UAV_50,RELAY,UAV,-1337029.8,5365810.2,3168580.8,10.0.0.51,109.4,52.0
480100,GS_01,CLIENT,GS,-1335860.7,5365682.5,3169285.4,10.0.0.1,-1.0,-1.0
480100,UAV_01,RELAY,UAV,-1337226.3,5364565.4,3170590.6,10.0.0.2,172.8,52.0
480100,UAV_02,RELAY,UAV,-1337086.4,5364634.1,3170533.7,10.0.0.3,167.1,52.0
480100,UAV_03,RELAY,UAV,-1336940.8,5364574.7,3170694.5,10.0.0.4,188.1,52.0
480100,UAV_04,RELAY,UAV,-1338128.9,5364494.0,3170332.4,10.0.0.5,30.7,52.0
480100,UAV_05,RELAY,UAV,-1338204.4,5364188.8,3170813.6,10.0.0.6,344.7,52.0
480100,UAV_06,RELAY,UAV,-1338333.0,5364380.8,3170437.0,10.0.0.7,15.7,52.0
480100,UAV_07,RELAY,UAV,-1337402.3,5364957.6,3169857.7,10.0.0.8,104.4,52.0
480100,UAV_08,RELAY,UAV,-1336913.9,5364188.4,3171355.1,10.0.0.9,238.6,52.0
480100,UAV_09,RELAY,UAV,-1338264.9,5364694.9,3169937.6,10.0.0.10,49.9,52.0
480100,UAV_10,RELAY,UAV,-1337046.4,5364048.7,3171534.3,10.0.0.11,251.4,52.0
480100,UAV_11,RELAY,UAV,-1337086.5,5365098.9,3169752.6,10.0.0.12,119.1,52.0
480100,UAV_12,RELAY,UAV,-1338696.5,5364278.3,3170457.0,10.0.0.13,10.2,52.0
480100,UAV_13,RELAY,UAV,-1337557.8,5363818.4,3171707.0,10.0.0.14,279.1,52.0
480100,UAV_14,RELAY,UAV,-1336303.0,5364473.7,3171131.6,10.0.0.15,207.3,52.0
480100,UAV_15,RELAY,UAV,-1336469.3,5365092.4,3170022.1,10.0.0.16,149.2,52.0
480100,UAV_16,RELAY,UAV,-1337312.3,5365218.0,3169457.8,10.0.0.17,106.3,52.0
480100,UAV_17,RELAY,UAV,-1338051.9,5365056.1,3169419.9,10.0.0.18,74.4,52.0
