time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
0,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
0,UAV_01,RELAY,UAV,-1337513.0,5364471.5,3170628.2,10.0.0.2,88.6,100.0
0,UAV_02,RELAY,UAV,-1337535.9,5364647.5,3170322.8,10.0.0.3,94.0,100.0
0,UAV_03,RELAY,UAV,-1337144.1,5364371.8,3170950.3,10.0.0.4,228.7,100.0
0,UAV_04,RELAY,UAV,-1337809.3,5364145.0,3171052.9,10.0.0.5,307.4,100.0
0,UAV_05,RELAY,UAV,-1336823.8,5364626.2,3170657.1,10.0.0.6,183.0,100.0
0,UAV_06,RELAY,UAV,-1336830.7,5364787.0,3170383.9,10.0.0.7,159.0,100.0
0,UAV_07,RELAY,UAV,-1336716.0,5364468.8,3170966.7,10.0.0.8,207.9,100.0
0,UAV_08,RELAY,UAV,-1337991.2,5363975.8,3171260.9,10.0.0.9,309.0,100.0
0,UAV_09,RELAY,UAV,-1337578.7,5364969.5,3169763.7,10.0.0.10,94.2,100.0
0,UAV_10,RELAY,UAV,-1337435.8,5363944.9,3171545.6,10.0.0.11,273.7,100.0
0,UAV_11,RELAY,UAV,-1337057.9,5365075.0,3169804.7,10.0.0.12,122.2,100.0
0,UAV_12,RELAY,UAV,-1338636.3,5364144.7,3170706.7,10.0.0.13,355.3,100.0
0,UAV_13,RELAY,UAV,-1336987.2,5364005.7,3171631.4,10.0.0.14,251.9,100.0
0,UAV_14,RELAY,UAV,-1336353.8,5364924.4,3170352.7,10.0.0.15,166.3,100.0
0,UAV_15,RELAY,UAV,-1337518.5,5365146.9,3169490.9,10.0.0.16,97.3,100.0
0,UAV_16,RELAY,UAV,-1338594.3,5364685.2,3169816.0,10.0.0.17,43.4,100.0
0,UAV_17,RELAY,UAV,-1338892.4,5364168.0,3170560.2,10.0.0.18,3.2,100.0
0,UAV_18,RELAY,UAV,-1338726.2,5363857.0,3171152.7,10.0.0.19,335.4,100.0
0,UAV_19,RELAY,UAV,-1338491.7,5363720.1,3171481.0,10.0.0.20,318.6,100.0
0,UAV_20,RELAY,UAV,-1338392.1,5363669.7,3171607.4,10.0.0.21,312.8,100.0
0,UAV_21,RELAY,UAV,-1338486.8,5363664.3,3171576.7,10.0.0.22,316.6,100.0
0,UAV_22,RELAY,UAV,-1338747.7,5363725.2,3171365.1,10.0.0.23,328.7,100.0
0,UAV_23,RELAY,UAV,-1339051.1,5363920.1,3170910.4,10.0.0.24,349.0,100.0
0,UAV_24,RELAY,UAV,-1339147.9,5364314.3,3170207.4,10.0.0.25,16.2,100.0
0,UAV_25,RELAY,UAV,-1338717.1,5364872.5,3169449.8,10.0.0.26,51.7,100.0
0,UAV_26,RELAY,UAV,-1337618.2,5365354.3,3169100.5,10.0.0.27,94.0,100.0
0,UAV_27,RELAY,UAV,-1336274.4,5365355.4,3169661.8,10.0.0.28,141.9,100.0
0,UAV_28,RELAY,UAV,-1335737.5,5364656.0,3171062.2,10.0.0.29,196.6,100.0
0,UAV_29,RELAY,UAV,-1336840.0,5363705.9,3172196.8,10.0.0.30,255.4,100.0
0,UAV_30,RELAY,UAV,-1338792.6,5363528.8,3171676.3,10.0.0.31,321.1,100.0
0,UAV_31,RELAY,UAV,-1339249.6,5364546.1,3169775.1,10.0.0.32,31.0,100.0
0,UAV_32,RELAY,UAV,-1337234.4,5365518.8,3168984.9,10.0.0.33,106.3,100.0
0,UAV_33,RELAY,UAV,-1335558.9,5364871.8,3170774.3,10.0.0.34,184.4,100.0
0,UAV_34,RELAY,UAV,-1337219.2,5363498.5,3172386.6,10.0.0.35,269.4,100.0
0,UAV_35,RELAY,UAV,-1339494.3,5363912.9,3170736.8,10.0.0.36,357.1,100.0
0,UAV_36,RELAY,UAV,-1337822.4,5365471.7,3168817.6,10.0.0.37,88.9,100.0
0,UAV_37,RELAY,UAV,-1335441.6,5364909.9,3170759.5,10.0.0.38,184.9,100.0
0,UAV_38,RELAY,UAV,-1337744.8,5363335.9,3172439.6,10.0.0.39,283.6,100.0
0,UAV_39,RELAY,UAV,-1339525.7,5364466.8,3169792.8,10.0.0.40,26.4,100.0
0,UAV_40,RELAY,UAV,-1336263.3,5365622.2,3169217.9,10.0.0.41,132.0,100.0
0,UAV_41,RELAY,UAV,-1336252.8,5363769.2,3172336.5,10.0.0.42,241.8,100.0
0,UAV_42,RELAY,UAV,-1339672.7,5363820.3,3170817.6,10.0.0.43,354.2,100.0
0,UAV_43,CACHE,UAV,-1337012.9,5365705.7,3168763.6,10.0.0.44,110.8,100.0
0,UAV_44,RELAY,UAV,-1335811.0,5364001.9,3172130.6,10.0.0.45,228.8,100.0
0,UAV_45,RELAY,UAV,-1339700.7,5363709.5,3170992.1,10.0.0.46,349.5,100.0
0,UAV_46,RELAY,UAV,-1336854.2,5365755.6,3168746.2,10.0.0.47,114.4,100.0
0,UAV_47,RELAY,UAV,-1336103.4,5363751.3,3172429.3,10.0.0.48,240.6,100.0
0,UAV_48,RELAY,UAV,-1339881.2,5364081.0,3170292.1,10.0.0.49,9.6,100.0
0,UAV_49,RELAY,UAV,-1335860.7,5365682.5,3169285.4,10.0.0.50,141.3,100.0
0,UAV_50,RELAY,UAV,-1337407.3,5363226.7,3172764.5,10.0.0.51,274.4,100.0
100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
100,UAV_01,RELAY,UAV,-1337514.3,5364471.0,3170628.5,10.0.0.2,64.1,100.0
100,UAV_02,RELAY,UAV,-1337537.4,5364647.2,3170322.7,10.0.0.3,94.0,100.0
100,UAV_03,RELAY,UAV,-1337143.1,5364372.6,3170949.5,10.0.0.4,228.7,100.0
100,UAV_04,RELAY,UAV,-1337808.0,5364144.8,3171053.6,10.0.0.5,307.4,100.0
100,UAV_05,RELAY,UAV,-1336823.9,5364626.9,3170655.8,10.0.0.6,183.0,100.0
100,UAV_06,RELAY,UAV,-1336831.4,5364787.6,3170382.7,10.0.0.7,159.0,100.0
100,UAV_07,RELAY,UAV,-1336715.5,5364469.7,3170965.5,10.0.0.8,206.5,100.0
100,UAV_08,RELAY,UAV,-1337990.0,5363975.6,3171261.7,10.0.0.9,309.0,100.0
100,UAV_09,RELAY,UAV,-1337580.2,5364969.2,3169763.6,10.0.0.10,94.2,100.0
100,UAV_10,RELAY,UAV,-1337434.3,5363945.2,3171545.6,10.0.0.11,273.7,100.0
100,UAV_11,RELAY,UAV,-1337059.2,5365075.1,3169804.0,10.0.0.12,122.2,100.0
100,UAV_12,RELAY,UAV,-1338636.0,5364144.0,3170708.0,10.0.0.13,355.3,100.0
100,UAV_13,RELAY,UAV,-1336985.9,5364006.2,3171631.0,10.0.0.14,251.9,100.0
100,UAV_14,RELAY,UAV,-1336354.3,5364925.1,3170351.5,10.0.0.15,166.3,100.0
100,UAV_15,RELAY,UAV,-1337519.9,5365146.6,3169490.8,10.0.0.16,97.3,100.0
100,UAV_16,RELAY,UAV,-1338595.1,5364684.4,3169817.0,10.0.0.17,43.4,100.0
100,UAV_17,RELAY,UAV,-1338892.3,5364167.3,3170561.5,10.0.0.18,3.2,100.0
100,UAV_18,RELAY,UAV,-1338725.4,5363856.4,3171153.9,10.0.0.19,335.4,100.0
100,UAV_19,RELAY,UAV,-1338490.6,5363719.7,3171482.0,10.0.0.20,318.6,100.0
100,UAV_20,RELAY,UAV,-1338390.9,5363669.5,3171608.3,10.0.0.21,312.8,100.0
100,UAV_21,RELAY,UAV,-1338485.7,5363664.0,3171577.7,10.0.0.22,316.6,100.0
100,UAV_22,RELAY,UAV,-1338746.7,5363724.8,3171366.2,10.0.0.23,328.7,100.0
100,UAV_23,RELAY,UAV,-1339050.6,5363919.5,3170911.7,10.0.0.24,349.0,100.0
100,UAV_24,RELAY,UAV,-1339148.1,5364313.5,3170208.6,10.0.0.25,16.2,100.0
100,UAV_25,RELAY,UAV,-1338718.1,5364871.7,3169450.6,10.0.0.26,51.7,100.0
100,UAV_26,RELAY,UAV,-1337619.6,5365354.0,3169100.4,10.0.0.27,94.0,100.0
100,UAV_27,RELAY,UAV,-1336275.4,5365355.7,3169660.8,10.0.0.28,141.9,100.0
100,UAV_28,RELAY,UAV,-1335737.2,5364656.8,3171060.9,10.0.0.29,196.6,100.0
100,UAV_29,RELAY,UAV,-1336838.6,5363706.5,3172196.5,10.0.0.30,255.4,100.0
100,UAV_30,RELAY,UAV,-1338791.5,5363528.5,3171677.4,10.0.0.31,321.1,100.0
100,UAV_31,RELAY,UAV,-1339250.2,5364545.3,3169776.2,10.0.0.32,31.0,100.0
100,UAV_32,RELAY,UAV,-1337235.9,5365518.6,3168984.6,10.0.0.33,104.9,100.0
100,UAV_33,RELAY,UAV,-1335559.0,5364872.6,3170773.0,10.0.0.34,184.4,100.0
100,UAV_34,RELAY,UAV,-1337217.7,5363498.9,3172386.5,10.0.0.35,269.4,100.0
100,UAV_35,RELAY,UAV,-1339494.0,5363912.2,3170738.1,10.0.0.36,357.1,100.0
100,UAV_36,RELAY,UAV,-1337823.9,5365471.3,3168817.7,10.0.0.37,88.9,100.0
100,UAV_37,RELAY,UAV,-1335441.7,5364910.6,3170758.2,10.0.0.38,184.9,100.0
100,UAV_38,RELAY,UAV,-1337743.3,5363336.1,3172439.9,10.0.0.39,283.6,100.0
100,UAV_39,RELAY,UAV,-1339526.2,5364466.0,3169794.0,10.0.0.40,26.4,100.0
100,UAV_40,RELAY,UAV,-1336264.5,5365622.5,3169217.0,10.0.0.41,132.0,100.0
100,UAV_41,RELAY,UAV,-1336251.6,5363769.9,3172335.9,10.0.0.42,241.8,100.0
100,UAV_42,RELAY,UAV,-1339672.4,5363819.6,3170818.9,10.0.0.43,354.2,100.0
