time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
120000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
120000,UAV_01,RELAY,UAV,-1337531.9,5364544.9,3170497.0,10.0.0.2,92.7,88.0
120000,UAV_02,CACHE,UAV,-1337147.0,5364584.2,3170592.2,10.0.0.3,174.8,88.0
120000,UAV_03,RELAY,UAV,-1337995.3,5364470.6,3170427.6,10.0.0.4,26.5,88.0
120000,UAV_04,RELAY,UAV,-1337086.6,5364783.1,3170283.3,10.0.0.5,141.0,88.0
120000,UAV_05,RELAY,UAV,-1338116.7,5364552.8,3170238.7,10.0.0.6,38.6,88.0
120000,UAV_06,RELAY,UAV,-1338239.1,5364496.6,3170281.8,10.0.0.7,29.7,88.0
120000,UAV_07,RELAY,UAV,-1337639.7,5364892.8,3169867.1,10.0.0.8,89.6,88.0
120000,UAV_08,RELAY,UAV,-1336606.6,5364537.8,3170896.6,10.0.0.9,199.0,88.0
120000,UAV_09,RELAY,UAV,-1338461.6,5364150.7,3170769.8,10.0.0.10,351.1,88.0
120000,UAV_10,RELAY,UAV,-1336484.7,5364765.5,3170565.0,10.0.0.11,176.1,88.0
120000,UAV_11,RELAY,UAV,-1338530.1,5364507.5,3170141.5,10.0.0.12,30.0,88.0
120000,UAV_12,RELAY,UAV,-1337329.5,5363908.4,3171651.5,10.0.0.13,268.7,88.0
120000,UAV_13,RELAY,UAV,-1336378.6,5364895.5,3170391.0,10.0.0.14,168.0,88.0
120000,UAV_14,RELAY,UAV,-1337777.8,5365064.3,3169520.9,10.0.0.15,85.2,88.0
120000,UAV_15,RELAY,UAV,-1338786.2,5364379.2,3170249.9,10.0.0.16,18.9,88.0
120000,UAV_16,RELAY,UAV,-1338560.4,5363835.7,3171257.9,10.0.0.17,329.1,88.0
120000,UAV_17,RELAY,UAV,-1337834.3,5363704.8,3171782.2,10.0.0.18,290.3,88.0
120000,UAV_18,RELAY,UAV,-1337209.8,5363794.9,3171892.3,10.0.0.19,265.2,88.0
120000,UAV_19,RELAY,UAV,-1336850.1,5363905.0,3171858.1,10.0.0.20,251.2,88.0
120000,UAV_20,RELAY,UAV,-1336731.6,5363937.1,3171853.7,10.0.0.21,246.8,88.0
120000,UAV_21,RELAY,UAV,-1336831.3,5363867.2,3171929.4,10.0.0.22,252.0,88.0
120000,UAV_22,RELAY,UAV,-1337173.8,5363721.0,3172031.6,10.0.0.23,265.4,88.0
120000,UAV_23,RELAY,UAV,-1337781.6,5363582.2,3172010.2,10.0.0.24,287.1,88.0
120000,UAV_24,CACHE,UAV,-1338556.9,5363601.3,3171653.2,10.0.0.25,315.7,88.0
120000,UAV_25,RELAY,UAV,-1339156.9,5363942.4,3170828.6,10.0.0.26,352.6,88.0
120000,UAV_26,RELAY,UAV,-1339040.8,5364620.0,3169738.5,10.0.0.27,36.3,88.0
120000,UAV_27,RELAY,UAV,-1337894.7,5365304.5,3169068.3,10.0.0.28,85.5,88.0
120000,UAV_28,RELAY,UAV,-1336291.2,5365389.4,3169597.5,10.0.0.29,140.2,88.0
120000,UAV_29,RELAY,UAV,-1335727.5,5364578.2,3171197.0,10.0.0.30,200.4,88.0
