time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
300000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
300000,UAV_01,RELAY,UAV,-1337741.5,5364457.8,3170555.6,10.0.0.2,22.5,70.0
300000,UAV_02,RELAY,UAV,-1337167.7,5364658.2,3170459.2,10.0.0.3,153.8,70.0
300000,UAV_03,RELAY,UAV,-1337494.2,5364758.4,3170153.9,10.0.0.4,100.4,70.0
300000,UAV_04,RELAY,UAV,-1337331.8,5364182.1,3171190.4,10.0.0.5,261.7,70.0
300000,UAV_05,RELAY,UAV,-1336782.9,5364600.1,3170718.1,10.0.0.6,188.2,70.0
300000,UAV_06,RELAY,UAV,-1336725.8,5364521.3,3170874.4,10.0.0.7,199.9,70.0
300000,UAV_07,CACHE,UAV,-1337474.6,5364019.5,3171404.0,10.0.0.8,275.0,70.0
300000,UAV_08,RELAY,UAV,-1338328.4,5364570.3,3170120.4,10.0.0.9,38.1,70.0
300000,UAV_09,CACHE,UAV,-1336529.1,5364544.1,3170918.5,10.0.0.10,199.8,70.0
300000,UAV_10,RELAY,UAV,-1338471.3,5364535.9,3170118.4,10.0.0.11,33.1,70.0
300000,UAV_11,RELAY,UAV,-1337068.6,5364016.8,3171578.6,10.0.0.12,253.9,70.0
300000,UAV_12,RELAY,UAV,-1336747.8,5365075.5,3169933.8,10.0.0.13,138.1,70.0
300000,UAV_13,RELAY,UAV,-1338507.5,5364658.2,3169897.8,10.0.0.14,42.9,70.0
300000,UAV_14,RELAY,UAV,-1338454.6,5363853.8,3171271.8,10.0.0.15,325.6,70.0
300000,UAV_15,RELAY,UAV,-1337204.5,5363860.0,3171785.2,10.0.0.16,263.4,70.0
300000,UAV_16,RELAY,UAV,-1336327.1,5364342.5,3171342.0,10.0.0.17,216.3,70.0
300000,UAV_17,RELAY,UAV,-1336115.6,5364792.1,3170675.1,10.0.0.18,183.0,70.0
300000,UAV_18,RELAY,UAV,-1336229.8,5365054.8,3170185.6,10.0.0.19,159.3,70.0
300000,UAV_19,RELAY,UAV,-1336357.8,5365172.5,3169934.2,10.0.0.20,148.1,70.0
300000,UAV_20,RELAY,UAV,-1336355.2,5365203.8,3169882.7,10.0.0.21,146.4,70.0
300000,UAV_21,RELAY,UAV,-1336203.0,5365159.2,3170021.4,10.0.0.22,154.3,70.0
300000,UAV_22,RELAY,UAV,-1335982.0,5364999.2,3170382.9,10.0.0.23,170.5,70.0
300000,UAV_23,RELAY,UAV,-1335886.4,5364668.3,3170979.1,10.0.0.24,193.6,70.0
300000,UAV_24,RELAY,UAV,-1336197.8,5364171.7,3171683.2,10.0.0.25,225.0,70.0
300000,UAV_25,RELAY,UAV,-1337114.6,5363675.3,3172133.3,10.0.0.26,263.2,70.0
300000,UAV_26,RELAY,UAV,-1338419.8,5363525.3,3171838.5,10.0.0.27,308.3,70.0
300000,UAV_27,RELAY,UAV,-1339275.1,5364021.7,3170645.9,10.0.0.28,0.2,70.0
300000,UAV_28,RELAY,UAV,-1338702.2,5364967.2,3169296.9,10.0.0.29,56.3,70.0
300000,UAV_29,RELAY,UAV,-1336847.3,5365493.5,3169189.5,10.0.0.30,117.9,70.0
