time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
120000,SAT_62528,STARLINK-32786,SAT,-1486283.93,5822626.86,3302991.93,484.08,-1,10.0.3.53,62528,499.61,6857.242825000062
120000,SAT_47643,STARLINK-2022,SAT,-1044730.99,5782444.65,3164635.26,300.75,-1,10.0.3.213,47643,510.38,6674.057633899731
120000,SAT_63579,STARLINK-33755,SAT,-1359402.58,5694565.75,3569912.8,484.82,-1,10.0.3.84,63579,518.57,6857.13729300993
120000,SAT_57921,STARLINK-30492,SAT,-1410551.45,5823509.38,3411674.69,522.22,-1,10.0.3.36,57921,523.65,6895.102688316663
120000,SAT_67324,STARLINK-36471,SAT,-1271809.41,5873235.64,3301251.26,483.27,-1,10.0.3.4,67324,529.4,6856.431720653414
120000,SAT_59304,STARLINK-31474,SAT,-1347551.19,5675636.52,3604094.64,484.78,-1,10.0.3.144,59304,533.73,6856.984927131228
120000,SAT_54054,STARLINK-5163,SAT,-1609443.44,5780571.48,3434396.85,540.94,-1,10.0.3.249,54054,562.77,6913.783084913668
120000,SAT_66405,STARLINK-35683,SAT,-1764766.76,5631583.33,3475257.68,476.22,-1,10.0.3.105,66405,588.85,6848.835555211833
120000,SAT_65690,STARLINK-34790,SAT,-1548815.4,5916911.5,3082770.14,475.45,-1,10.0.3.155,65690,598.0,6849.243942084778
120000,SAT_59533,STARLINK-31509,SAT,-1388213.46,5567149.0,3752561.28,484.09,-1,10.0.3.118,59533,618.34,6855.800519186758
120000,SAT_55452,STARLINK-5683,SAT,-1708451.47,5685302.78,3580780.5,560.37,-1,10.0.3.117,55452,639.38,6932.781773199063
120000,SAT_65348,STARLINK-34859,SAT,-1254119.64,6010827.77,3036041.19,475.93,-1,10.0.3.68,65348,665.5,6849.847637678777
120000,SAT_67354,STARLINK-36448,SAT,-1234119.35,5570417.25,3800418.79,483.8,-1,10.0.3.34,67354,670.66,6855.346956101278
120000,SAT_48371,STARLINK-2589,SAT,-1909970.29,5704757.55,3274872.77,476.37,-1,10.0.3.176,48371,674.1,6849.601219972748
120000,SAT_58151,STARLINK-30834,SAT,-1744410.79,5492575.5,3699521.08,476.32,-1,10.0.3.11,58151,679.52,6848.197635059391
120000,SAT_56544,STARLINK-6226,SAT,-1881388.62,5809742.0,3250605.87,544.63,-1,10.0.3.189,56544,707.47,6918.0317842655195
120000,SAT_64921,STARLINK-34699,SAT,-1931918.73,5545523.73,3523807.38,476.07,-1,10.0.3.151,64921,714.76,6848.529905801711
120000,SAT_66408,STARLINK-35679,SAT,-1245087.38,5512568.12,3867819.86,476.97,-1,10.0.3.108,66408,718.75,6848.2611173118985
120000,SAT_64128,STARLINK-11722 [DTC],SAT,-1970609.37,5680391.01,3025064.09,356.81,-1,10.0.3.123,64128,722.38,6730.61334977936
120000,SAT_66342,STARLINK-35535,SAT,-967777.41,5989778.64,3194235.96,483.43,-1,10.0.3.42,66342,726.85,6856.907804518279
120000,SAT_52336,STARLINK-3823,SAT,-952280.95,5904299.8,3468520.33,540.89,-1,10.0.3.61,52336,727.06,6913.626285505766
120000,SAT_62448,STARLINK-32719,SAT,-1307913.34,5483005.04,3888192.19,476.55,-1,10.0.3.228,62448,727.92,6847.774826904894
120000,SAT_64610,STARLINK-34569,SAT,-863916.19,5832483.12,3485413.75,476.68,-1,10.0.3.95,64610,736.52,6849.2568602088595
120000,SAT_49453,STARLINK-3129,SAT,-1955428.02,5633772.5,3497694.43,540.89,-1,10.0.3.238,49453,749.24,6913.534381834692
120000,SAT_67334,STARLINK-35343,SAT,-2005936.19,5586176.27,3432293.86,483.61,-1,10.0.3.14,67334,751.3,6856.36831414828
120000,SAT_67311,STARLINK-36495,SAT,-1897040.04,5465000.41,3681207.28,484.89,-1,10.0.3.246,67311,764.14,6856.841651444809
120000,SAT_64244,STARLINK-11710 [DTC],SAT,-800525.65,5907390.2,3127408.31,358.42,-1,10.0.3.239,64244,764.86,6731.9226844060695
120000,SAT_60116,STARLINK-11210 [DTC],SAT,-1629078.99,5249156.24,3888809.9,361.8,-1,10.0.3.191,60116,783.66,6732.784121441023
120000,SAT_48405,STARLINK-2570,SAT,-849679.92,5688394.34,3718841.75,477.24,-1,10.0.3.210,48405,802.18,6849.0561463123
120000,SAT_57829,STARLINK-30418,SAT,-1519451.74,5407267.24,3954379.17,498.06,-1,10.0.3.199,57829,805.76,6869.089256596986
120000,SAT_59024,STARLINK-31006,SAT,-1825196.16,5962683.86,2853432.62,483.2,-1,10.0.3.119,59024,834.48,6857.624774924866
120000,SAT_57665,STARLINK-30298,SAT,-734349.17,5837691.84,3505936.98,476.54,-1,10.0.3.35,57665,836.79,6849.051673773078
120000,SAT_67514,STARLINK-36530,SAT,-1505459.39,5366611.64,3992152.22,485.1,-1,10.0.3.194,67514,838.54,6855.961480140739
120000,SAT_46340,STARLINK-1759,SAT,-705855.91,5655594.42,3644394.21,393.12,-1,10.0.3.185,46340,841.57,6765.026974602436
120000,SAT_51792,STARLINK-3626,SAT,-1611578.04,6092920.55,2844955.79,540.31,-1,10.0.3.27,51792,843.72,6914.812944301319
120000,SAT_56557,STARLINK-6265,SAT,-864412.92,5736920.51,3769950.42,547.19,-1,10.0.3.202,56557,849.58,6918.958939289911
120000,SAT_58841,STARLINK-31236,SAT,-757728.09,5980131.28,3252661.0,476.22,-1,10.0.3.191,58841,849.68,6849.52009744701
120000,SAT_57919,STARLINK-30496,SAT,-1972709.16,5434211.61,3743453.2,515.56,-1,10.0.3.34,57919,858.2,6887.356467672988
120000,SAT_51809,STARLINK-3607,SAT,-1633792.09,5412812.77,3977349.06,541.79,-1,10.0.3.44,51809,860.79,6912.823173024501
120000,SAT_56555,STARLINK-6252,SAT,-2083216.06,5802171.27,3129655.21,540.0,-1,10.0.3.200,56555,865.67,6913.734326146433
121000,SAT_62528,STARLINK-32786,SAT,-1492527.53,5823123.07,3299309.43,484.08,-1,10.0.3.53,62528,499.61,6857.247511287678
121000,SAT_47643,STARLINK-2022,SAT,-1049029.57,5778934.85,3169598.87,300.75,-1,10.0.3.213,47643,510.38,6674.047350445169
121000,SAT_63579,STARLINK-33755,SAT,-1364864.82,5691148.29,3573268.12,484.82,-1,10.0.3.84,63579,518.57,6857.132774932384
121000,SAT_57921,STARLINK-30492,SAT,-1415868.28,5820122.16,3415240.22,522.22,-1,10.0.3.36,57921,523.65,6895.097584801747
121000,SAT_67324,STARLINK-36471,SAT,-1277172.47,5869995.35,3304931.12,483.28,-1,10.0.3.4,67324,529.4,6856.426520797257
121000,SAT_59304,STARLINK-31474,SAT,-1353990.33,5676213.17,3600780.52,484.77,-1,10.0.3.144,59304,533.73,6856.989581312372
121000,SAT_54054,STARLINK-5163,SAT,-1613334.57,5776641.65,3439163.63,540.95,-1,10.0.3.249,54054,562.77,6913.774921212477
121000,SAT_66405,STARLINK-35683,SAT,-1770256.14,5632781.64,3470535.9,476.22,-1,10.0.3.105,66405,588.85,6848.843350399949
121000,SAT_65690,STARLINK-34790,SAT,-1552693.17,5913253.57,3087815.81,475.46,-1,10.0.3.155,65690,598.0,6849.235748590375
121000,SAT_59533,STARLINK-31509,SAT,-1393784.11,5563661.63,3755658.64,484.1,-1,10.0.3.118,59533,618.34,6855.795847210548
121000,SAT_55452,STARLINK-5683,SAT,-1713653.08,5681604.36,3584154.73,560.37,-1,10.0.3.117,55452,639.38,6932.7772292744185
121000,SAT_65348,STARLINK-34859,SAT,-1259191.78,6012342.56,3030956.95,475.92,-1,10.0.3.68,65348,665.5,6849.855986103666
121000,SAT_67354,STARLINK-36448,SAT,-1240695.4,5571026.79,3797389.81,483.8,-1,10.0.3.34,67354,670.66,6855.3507524831075
121000,SAT_48371,STARLINK-2589,SAT,-1913644.12,5700704.04,3279765.25,476.38,-1,10.0.3.176,48371,674.1,6849.592722548579
121000,SAT_58151,STARLINK-30834,SAT,-1750069.84,5493817.05,3695016.4,476.31,-1,10.0.3.11,58151,679.52,6848.205343009019
121000,SAT_56544,STARLINK-6226,SAT,-1887566.1,5809842.49,3246852.12,544.63,-1,10.0.3.189,56544,707.47,6918.036154113905
121000,SAT_64921,STARLINK-34699,SAT,-1935626.77,5541248.07,3528479.78,476.08,-1,10.0.3.151,64921,714.76,6848.521791152322
121000,SAT_66408,STARLINK-35679,SAT,-1250747.62,5514328.83,3863494.51,476.96,-1,10.0.3.108,66408,718.75,6848.268531760782
121000,SAT_64128,STARLINK-11722 [DTC],SAT,-1975495.71,5676584.37,3029009.53,356.82,-1,10.0.3.123,64128,722.38,6730.6086012178375
121000,SAT_66342,STARLINK-35535,SAT,-973884.37,5990819.2,3190438.15,483.42,-1,10.0.3.42,66342,726.85,6856.91337572485
121000,SAT_52336,STARLINK-3823,SAT,-957479.4,5906251.29,3463779.57,540.88,-1,10.0.3.61,52336,727.06,6913.634356226862
121000,SAT_62448,STARLINK-32719,SAT,-1312229.97,5478913.2,3892490.77,476.56,-1,10.0.3.228,62448,727.92,6847.767646601017
121000,SAT_64610,STARLINK-34569,SAT,-868338.86,5829000.18,3490121.75,476.68,-1,10.0.3.95,64610,736.52,6849.248521118881
121000,SAT_49453,STARLINK-3129,SAT,-1960906.72,5634803.15,3492979.72,540.88,-1,10.0.3.238,49453,749.24,6913.542436994393
121000,SAT_67334,STARLINK-35343,SAT,-2012285.16,5586067.59,3428761.77,483.6,-1,10.0.3.14,67334,751.3,6856.372944977407
121000,SAT_67311,STARLINK-36495,SAT,-1902216.45,5461035.39,3684410.03,484.89,-1,10.0.3.246,67311,764.14,6856.836896313609
121000,SAT_64244,STARLINK-11710 [DTC],SAT,-806664.66,5908593.8,3123565.33,358.41,-1,10.0.3.239,64244,764.86,6731.927579666121
121000,SAT_60116,STARLINK-11210 [DTC],SAT,-1634990.93,5250483.35,3884548.3,361.8,-1,10.0.3.191,60116,783.66,6732.791861096136
121000,SAT_48405,STARLINK-2570,SAT,-854223.74,5684771.86,3723322.57,477.25,-1,10.0.3.210,48405,802.18,6849.048127915212
121000,SAT_57829,STARLINK-30418,SAT,-1526150.31,5407421.72,3951594.34,498.05,-1,10.0.3.199,57829,805.76,6869.093262910388
121000,SAT_59024,STARLINK-31006,SAT,-1830072.43,5959209.24,2857550.67,483.21,-1,10.0.3.119,59024,834.48,6857.6188066095465
