time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
60000,SAT_67311,STARLINK-36495,SAT,-1583440.13,5691815.46,3480840.76,484.53,-1,10.0.3.246,67311,513.73,6857.134844267451
60000,SAT_56544,STARLINK-6226,SAT,-1506822.63,5792640.71,3468490.63,545.03,-1,10.0.3.189,56544,548.43,6917.776238346193
60000,SAT_64921,STARLINK-34699,SAT,-1706342.55,5790342.37,3235654.19,475.68,-1,10.0.3.151,64921,567.17,6849.0238499382
60000,SAT_55452,STARLINK-5683,SAT,-1393811.55,5896064.22,3370618.04,560.0,-1,10.0.3.117,55452,570.8,6933.062086470238
60000,SAT_57919,STARLINK-30496,SAT,-1661057.79,5665337.39,3547458.39,515.2,-1,10.0.3.34,57919,580.74,6887.642684767633
60000,SAT_67334,STARLINK-35343,SAT,-1620759.93,5581820.9,3636277.89,484.0,-1,10.0.3.14,67334,586.81,6856.099780755329
60000,SAT_62528,STARLINK-32786,SAT,-1108433.13,5781444.46,3516289.57,484.47,-1,10.0.3.53,62528,588.11,6856.968454633365
60000,SAT_56555,STARLINK-6252,SAT,-1712560.78,5797128.42,3355065.0,540.38,-1,10.0.3.200,56555,601.6,6913.466821891236
60000,SAT_66405,STARLINK-35683,SAT,-1431308.51,5548492.9,3750446.16,476.67,-1,10.0.3.105,66405,615.55,6848.376735490505
60000,SAT_51809,STARLINK-3607,SAT,-1387531.38,5662651.91,3715193.07,541.35,-1,10.0.3.44,51809,622.91,6913.286449416614
60000,SAT_59533,STARLINK-31509,SAT,-1051993.44,5765194.41,3558348.1,483.73,-1,10.0.3.118,59533,626.48,6856.092034364176
60000,SAT_63579,STARLINK-33755,SAT,-1029728.58,5888108.32,3360651.06,484.43,-1,10.0.3.84,63579,636.46,6857.414679279734
60000,SAT_63578,STARLINK-33719,SAT,-1643351.82,5526546.6,3710144.47,484.42,-1,10.0.3.83,63578,641.04,6856.27409855677
60000,SAT_54054,STARLINK-5163,SAT,-1373623.24,6004542.56,3141000.79,540.57,-1,10.0.3.249,54054,641.81,6914.279291661574
60000,SAT_62448,STARLINK-32719,SAT,-1047210.81,5717103.44,3621623.09,476.08,-1,10.0.3.228,62448,641.92,6848.216996435046
60000,SAT_56547,STARLINK-6291,SAT,-1820781.09,5804579.61,3299949.45,547.58,-1,10.0.3.192,56547,666.35,6920.8420440784985
60000,SAT_56770,STARLINK-6342,SAT,-1570323.12,5642615.79,3739188.88,576.93,-1,10.0.3.160,56770,674.45,6948.853224459379
60000,SAT_63188,STARLINK-11642 [DTC],SAT,-1751145.21,5331723.39,3716140.76,359.19,-1,10.0.3.203,63188,685.41,6730.786432662413
60000,SAT_65348,STARLINK-34859,SAT,-946743.62,5907791.37,3333960.37,476.3,-1,10.0.3.68,65348,688.93,6849.351363610113
60000,SAT_49453,STARLINK-3129,SAT,-1622341.52,5561080.46,3772635.51,541.31,-1,10.0.3.238,49453,694.44,6913.059133366551
60000,SAT_57921,STARLINK-30492,SAT,-1089519.86,6015126.28,3190291.23,521.87,-1,10.0.3.36,57921,696.63,6895.415565569342
60000,SAT_48371,STARLINK-2589,SAT,-1686435.32,5935891.1,2974092.69,476.03,-1,10.0.3.176,48371,697.81,6850.116390858929
60000,SAT_67514,STARLINK-36530,SAT,-1161796.93,5572873.42,3821103.25,484.73,-1,10.0.3.194,67514,705.32,6856.203053371486
60000,SAT_47739,STARLINK-2150,SAT,-1914164.87,5534881.74,3551490.02,476.87,-1,10.0.3.54,47739,711.81,6849.235314068801
60000,SAT_60444,STARLINK-32249,SAT,-1979456.94,5664009.61,3303513.5,476.12,-1,10.0.3.9,60444,720.78,6849.266828221015
60000,SAT_57663,STARLINK-30267,SAT,-1438550.12,6036357.32,2900853.72,475.68,-1,10.0.3.33,57663,731.07,6849.962660285634
