time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
360000,SAT_60935,STARLINK-11253 [DTC],SAT,-1383261.59,5686411.16,3330540.03,360.7,-1,10.0.3.245,60935,362.42,6733.586072693679
360000,SAT_64911,STARLINK-34718,SAT,-1685562.58,5728856.5,3354339.06,476.28,-1,10.0.3.141,64911,536.39,6849.270657386098
360000,SAT_55287,STARLINK-5341,SAT,-1359902.98,5874185.27,3455112.77,576.5,-1,10.0.3.207,55287,584.21,6949.3303961399715
360000,SAT_48370,STARLINK-2621,SAT,-1672450.73,5866185.01,3114340.22,475.27,-1,10.0.3.175,48370,605.9,6848.965835929967
360000,SAT_54080,STARLINK-5160,SAT,-1187686.09,5767257.21,3622805.12,541.26,-1,10.0.3.20,54080,623.86,6913.506412246587
360000,SAT_59943,STARLINK-31973,SAT,-1830118.14,5767684.42,3225394.05,483.63,-1,10.0.3.18,59943,638.97,6857.017044812065
360000,SAT_54055,STARLINK-5158,SAT,-1164848.93,6094261.6,3051276.26,540.32,-1,10.0.3.250,54055,759.41,6914.273952758619
360000,SAT_65689,STARLINK-34875,SAT,-1266458.68,6088820.72,2872582.31,476.14,-1,10.0.3.154,65689,786.52,6850.502498078049
360000,SAT_59534,STARLINK-31734,SAT,-1203570.62,6151356.43,2783164.04,483.52,-1,10.0.3.119,59534,887.3,6858.11710601231
360000,SAT_64928,STARLINK-34248,SAT,-2043416.83,5351790.22,3753634.09,477.17,-1,10.0.3.158,64928,915.64,6848.867043652185
360000,SAT_55451,STARLINK-5656,SAT,-777995.68,6176716.79,3052209.64,559.5,-1,10.0.3.116,55451,993.42,6933.4761316727345
360000,SAT_59497,STARLINK-31720,SAT,-1832918.14,6056353.95,2644048.24,482.9,-1,10.0.3.82,59497,1000.73,6857.8424574401515
360000,SAT_57463,STARLINK-30091,SAT,-1284411.37,6225630.36,2581240.65,485.73,-1,10.0.3.88,57463,1044.91,6860.830069310231
360000,SAT_67325,STARLINK-36473,SAT,-638553.83,6155914.43,2952982.89,483.19,-1,10.0.3.5,67325,1078.12,6857.3421536279375
360000,SAT_54192,STARLINK-5268,SAT,-2479026.2,5444032.87,3466845.25,541.16,-1,10.0.3.132,54192,1182.02,6913.9048863413245
360000,SAT_48362,STARLINK-2578,SAT,-2377007.79,5852436.31,2651170.97,475.62,-1,10.0.3.167,48362,1260.37,6850.538979415987
360000,SAT_59555,STARLINK-31730,SAT,-1834018.85,6189751.37,2314993.45,482.58,-1,10.0.3.140,59555,1288.31,6858.268136936255
360000,SAT_51886,STARLINK-3565,SAT,-2547543.06,5761563.71,2850723.23,540.15,-1,10.0.3.121,51886,1313.1,6914.637731725702
360000,SAT_64914,STARLINK-34571,SAT,-858818.07,6364227.92,2385869.93,475.26,-1,10.0.3.144,64914,1358.14,6850.79125488029
360000,SAT_66578,STARLINK-35743,SAT,-2435805.18,5881860.3,2552937.08,483.91,-1,10.0.3.23,66578,1362.17,6859.075389443525
360000,SAT_55498,STARLINK-5365,SAT,-1142132.76,6430006.22,2327812.31,557.4,-1,10.0.3.163,55498,1372.56,6933.120320699147
360000,SAT_66943,STARLINK-36109,SAT,-2715967.73,5450829.44,3136186.08,476.45,-1,10.0.3.133,66943,1381.6,6850.086526662115
360000,SAT_47643,STARLINK-2022,SAT,-2040366.48,4748289.46,4219344.27,302.19,-1,10.0.3.213,47643,1404.81,6671.747465052654
360000,SAT_55501,STARLINK-5367,SAT,-2698026.23,5324839.05,3525999.02,560.37,-1,10.0.3.166,55501,1406.73,6932.959363447465
360000,SAT_65761,STARLINK-34889,SAT,-136025.78,6094987.11,3122229.93,475.83,-1,10.0.3.226,65761,1406.98,6849.502946906336
360000,SAT_45230,STARLINK-1227,SAT,-2184641.16,6082178.18,2266352.95,472.71,-1,10.0.3.95,45230,1431.95,6848.4964850109955
360000,SAT_48406,STARLINK-2568,SAT,-143623.66,6223121.9,2859364.11,475.7,-1,10.0.3.211,48406,1503.19,6850.097594306778
360000,SAT_58393,STARLINK-30939,SAT,-2472085.91,5944383.16,2343160.11,475.45,-1,10.0.3.253,58393,1519.31,6851.080148444283
360000,SAT_62915,STARLINK-11555 [DTC],SAT,-2749854.95,5565609.96,2600657.14,355.68,-1,10.0.3.185,62915,1536.25,6730.611713115212
360000,SAT_64130,STARLINK-11735 [DTC],SAT,-696424.56,6353708.56,2109406.1,354.81,-1,10.0.3.125,64130,1586.13,6730.840491937517
